Minerals data file for Calpine CMHC-8
depthQ C P E Y L X A T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)

60 c c c c c c c c c
70 - - - - - - - - -
80 - - - - - - - - -
90 - - - - - - - - -
100 - - - - - - - - -
110 - - - - - - - - -
120 r r - - - - - - -
130 r r - - - - - - -
140 - r - - - - - - -
150 r r - - - - - - -
160 r r - - - - - - -
170 r r - - - - - - -
180 - r - - - - - - -
190 - t - - - - - - -
200 - t - - - - - - -
210 r t - - - - - - -
220 - r - - - - - - -
230 r r - - - - - - -
240 - r - - - - - - -
250 - r - - - - - - -
260 - r - - - - - - -
270 - r - - - - - - -
280 - r - - - - - - -
290 - r - - - - - - -
300 - r - - - - - - -
310 - r - - - - - - -
320 r r - - - - - - -
330 r r - - - - - - -
340 r r - - - - - - -
350 r r - - - - - - -
360 r r - - - - - - -
370 r r - - - - - - -
380 r r - - - - - - -
390 r t - - - - - - -
400 - r - - - - - - -
410 - r - - - - - - -
420 - r - - - - - - -
430 - r - - - - - - -
440 r t - - - r - - -
450 r r - - - r - - -
460 r r - - - r - - -
470 r r - - - r - - -
480 r r - - - r - - -
490 r r - - - - - - -
500 - t - - - - - - -
510 - m - - - t - - -
520 - m - - - t - - -
530 r m - - - m - - -
540 r m - - - m - - - 
550 - m - - - m - - -
560 - m - - - m - - -
570 r c - - - m - - -
580 - c - - - m - - -
590 - c - - - m - - -
600 - c - - - m - - -
610 - c - - - m - - -
620 - c r - - m - - -
630 - t r - - m - - -
640 - m r - - m - - -
650 - t - - - m - - -
660 - t - - - m - - -
670 - t r - - m - - -
680 - t r - - m - - -
690 - m t - - m - - -
700 - t t - - m - - -
710 - t t - - m - - -
720 - t r - - m - - -
730 - t r - - m - - -
740 - t - - - m - - -
750 - - - - - - - - -
760 r t r - - m - - -
770 - t r - - m - - -
780 r t r - - m - - -
790 - t r - - m - - -
800 - t t - - m - - -
810 - t r - - m - - -
820 - t r - - t - - -
830 - m - - - t - - -
840 - t - - - t - - -
850 - m r - - m - - -
860 - m r - - m - - -
870 - m r - - m - - -
880 - m r - - m - - -
890 - m r - - m - - -
900 - m r - - m - - -
910 - m r - - m - - -
920 - m r - - m - - -
930 - m r - - m - - -
940 - m r - - m - - -
950 - m r - - m - - -
960 - m r - - m - - -
970 - m r - - m - - -
980 - m r - - m - - -
990 - m r - - m - - -
1000 - m r - - m - - -
1010 r m r - - m - - -
1020 - m r - - m - - -
1030 r m r - - m - - -
1040 r m r - - c - - -
1050 r m r - - m - - -
1060 r m r - - m - - -
1070 r m r - - m - - -
1080 - t r - - m - - -
1090 - t r - - m - - -
1100 - t r - - m - - -
1110 - t r - - m - - -
1120 - t t - - m - - -
1130 - t t - - m - - -
1140 - t r - - m - - -
1150 - t r - - m - - -
1160 - t r - - m - - -
1170 - t r - - m - - -
1180 - t r - - m - - -
1190 - t r - - m - - -
1200 - t r - - m - - -
1210 - m r - - m - - -
1220 - m r - - m - - -
1230 - m r - - m - - -
1240 - c r - - m - - -
1250 - m r - - m - - -
1260 - m r - - m - - -
1270 - m r - - m - - -
1280 - m r - - m - - -
1290 - m r - - m - - -
1300 - m r - - m - - -
1310 - m r - - m - - -
1320 - m r - - m - - -
1330 - m r - - c - - -
1340 - m - - - c - - -
1350 - c - - - c - - -
1360 - c - - - c - - -
1370 - c - - - m - - -
1380 r c r - - m - - -
1390 r c r - - m - - -
1400 r c r - - m - - -
1410 t c r - - m - - -
1420 t c r - - m - - -
1430 t c r - - m - - -
1440 t c r - - m - - -
1450 - - - - - - - - -
1460 t c r - - m - - -
1470 t c r - - m - - -
