Calpine	GGC-5										
Depth	Q	C	P	E	Y	L	X	A	"T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)"		
60	-	m	-	-	-	-	-	-	-		
70	-	m	-	-	-	-	-	-	-		
80	-	m	-	-	-	-	-	-	-		
90	-	m	-	-	-	-	-	-	-		
100	-	m	-	-	-	-	-	-	-		
110	-	m	-	-	-	-	-	-	-		
120	-	t	-	-	-	-	-	-	-		
130	-	t	-	-	-	-	-	-	-		
140	-	t	r	-	-	-	-	-	-		
150	-	t	r	-	-	-	-	-	-		
160	-	t	t	-	-	-	-	-	-		
170	-	t	t	-	-	-	-	-	-		
180	-	t	-	-	-	-	-	-	-		
190	-	t	-	-	-	-	-	-	-		
200	-	t	-	-	-	-	-	-	-		
210	-	t	-	-	-	-	-	-	-		
220	t	t	-	-	-	-	-	-	-		
230	t	t	-	-	-	-	-	-	-		
240	t	t	r	-	-	-	-	-	-		
250	t	t	r	-	-	-	-	-	-		
260	r	t	t	-	-	-	-	-	-		
270	r	t	t	-	-	-	-	-	-		
280	-	m	-	-	-	-	-	-	-		
290	-	m	-	-	-	-	-	-	-		
300	t	m	t	-	-	-	-	-	-		
310	t	m	t	-	-	-	-	-	-		
320	-	t	-	-	-	-	-	-	-		
330	-	t	-	-	-	-	-	-	-		
340	-	m	-	-	-	-	-	-	-		
350	-	m	-	-	-	-	-	-	-		
360	-	t	-	-	-	-	-	-	-		
370	-	t	-	-	-	-	-	-	-		
380	-	t	-	-	-	-	-	-	-		
390	-	t	-	-	-	-	-	-	-		
400	-	t	-	-	-	-	-	-	-		
410	-	t	-	-	-	-	-	-	-		
420	-	m	-	-	-	-	-	-	-		
430	-	m	-	-	-	-	-	-	-		
440	-	m	-	-	-	-	-	-	-		
450	-	m	-	-	-	-	-	-	-		
460	-	m	-	-	-	-	-	-	-		
470	-	m	-	-	-	-	-	-	-		
480	-	m	-	-	-	-	-	-	-		
490	-	m	-	-	-	-	-	-	-		
500	-	t	-	-	-	-	-	-	-		
510	-	t	-	-	-	-	-	-	-		
520	-	t	-	-	-	-	-	-	-		
530	-	t	-	-	-	-	-	-	-		
540	-	t	-	-	-	-	-	-	-		
550	-	t	-	-	-	-	-	-	-		
560	-	t	-	-	-	-	-	-	-		
570	-	t	-	-	-	-	-	-	-		
580	-	t	-	-	-	-	-	-	-		
590	-	t	-	-	-	-	-	-	-		
600	-	t	-	-	-	-	-	-	-		
610	-	t	-	-	-	-	-	-	-		
620	-	t	-	-	-	-	-	-	-		
630	-	t	-	-	-	-	-	-	-		
640	-	t	-	-	-	-	-	-	-		
650	-	t	-	-	-	-	-	-	-		
660	-	t	-	-	-	-	-	-	-		
670	-	t	-	-	-	-	-	-	-		
680	-	t	-	-	-	-	-	-	-		
690	-	t	-	-	-	-	-	-	-		
700	-	t	-	-	-	-	-	-	-		
710	-	t	-	-	-	-	-	-	-		
720	r	t	-	-	-	-	-	-	-		
730	r	t	-	-	-	-	-	-	-		
740	r	t	-	-	-	-	-	-	-		
750	r	t	-	-	-	-	-	-	-		
760	r	t	-	-	-	-	-	-	-		
770	r	t	-	-	-	-	-	-	-		
780	r	t	-	-	-	-	-	-	-		
790	r	t	-	-	-	-	-	-	-		
800	r	t	-	-	-	-	-	-	-		
810	r	t	-	-	-	-	-	-	-		
820	r	t	-	-	-	-	-	-	-		
830	r	t	-	-	-	-	-	-	-		
840	r	t	-	-	-	-	-	-	-		
850	r	t	-	-	-	-	-	-	-		
860	r	t	-	-	-	-	-	-	-		
870	r	t	-	-	-	-	-	-	-		
880	r	t	-	-	-	-	-	-	-		
890	r	t	-	-	-	-	-	-	-		
900	r	t	-	-	-	-	-	-	-		
910	r	t	-	-	-	-	-	-	-		
920	-	t	-	-	-	-	-	-	-		
930	-	t	-	-	-	-	-	-	-		
940	-	t	-	-	-	-	-	-	-		
950	-	t	-	-	-	-	-	-	-		
960	-	t	-	-	-	-	-	-	-		
970	-	t	-	-	-	-	-	-	-		
980	-	t	-	-	-	-	-	-	-		
990	-	t	-	-	-	-	-	-	-		
1000	r	t	-	-	-	-	-	-	-		
1010	r	t	-	-	-	-	-	-	-		
1020	-	t	-	-	-	-	-	-	-		
1030	-	t	-	-	-	-	-	-	-		
1040	-	t	-	-	-	-	-	-	-		
1050	-	t	-	-	-	-	-	-	-		
1060	t	t	-	-	-	-	-	-	-		
1070	t	t	-	-	-	-	-	-	-		
1080	t	t	-	-	-	-	-	-	-		
1090	t	t	-	-	-	-	-	-	-		
1100	r	t	-	-	-	-	-	-	-		
1110	r	t	-	-	-	-	-	-	-		
1120	r	t	-	-	-	-	-	-	-		
1130	r	t	-	-	-	-	-	-	-		
1140	t	t	-	-	-	-	-	-	-		
1150	t	t	-	-	-	-	-	-	-		
1160	t	t	-	-	-	-	-	-	-		
1170	t	t	-	-	-	-	-	-	-		
1180	t	m	-	-	-	-	-	-	-		
1190	t	m	-	-	-	-	-	-	-		
1200	r	m	-	-	-	-	-	-	-		
1210	r	m	-	-	-	-	-	-	-		
1220	r	m	-	-	-	-	-	-	-		
1230	r	m	-	-	-	-	-	-	-		
1240	-	t	-	-	-	-	-	-	-		
1250	-	t	-	-	-	-	-	-	-		
1260	-	t	-	-	-	-	-	-	-		
1270	-	t	-	-	-	-	-	-	-		
1280	-	t	-	-	-	-	-	-	-		
1290	-	t	-	-	-	-	-	-	-		
1300	-	t	-	-	-	-	-	-	-		
1310	-	t	-	-	-	-	-	-	-		
1320	-	t	-	-	-	-	-	-	-		
1330	-	t	-	-	-	-	-	-	-		
1340	-	t	-	-	-	-	-	-	-		
1350	-	t	-	-	-	-	-	-	-		
1360	-	t	-	-	-	-	-	-	-		
1370	-	t	-	-	-	-	-	-	-		
1380	-	m	-	-	-	-	-	-	-		
1390	-	m	-	-	-	-	-	-	-		
1400	t	m	-	-	-	-	-	-	-		
1410	t	m	-	-	-	-	-	-	-		
1420	t	m	t	-	-	-	-	-	-		
1430	t	m	t	-	-	-	-	-	-		
1440	t	m	t	-	-	-	-	-	-		
1450	t	m	t	-	-	-	-	-	-		
1460	t	m	t	-	-	-	-	-	-		
1470	t	m	t	-	-	-	-	-	-		
1480	t	t	-	-	-	-	-	-	-		
